-607.41423,778.22636	-607.63059,778.95792	-608.61449,780.54788	-610.12566,782.13789	-611.91521,783.52489	-613.7341,784.5059	-614.57672,784.78075	-615.33321,784.87803	-626.68367,780.50837	-627.19031,780.16124	-637.1925,771.40164	-637.71782,770.84851	-638.60285,769.20144	-646.63845,751.75831	-646.90358,751.20433	-646.91245,750.54888	-646.6961,749.81735	-645.7122,748.22738	-644.20093,746.6374	-642.4114,745.25045	-640.59261,744.26941	-639.74997,743.9945	-638.99347,743.89721	-625.30958,743.36022	-623.2439,743.41996	-622.37674,743.60319	-621.67299,743.89726	-609.55383,750.27407	-607.79478,751.35871	-607.13547,751.95102	-606.67296,752.55753	-604.78198,764.57218	-604.82926,765.18447
-628.80959,806.73726	-629.36274,807.26262	-631.00981,808.14762	-633.11352,808.76903	-635.35681,809.07543	-637.42253,809.01556	-638.28968,808.83228	-638.99346,808.53829	-646.63842,799.07882	-646.90362,798.52487	-651.18597,785.93774	-651.36434,785.19606	-651.30726,783.32714	-649.54474,764.20314	-649.49735,763.59081	-649.17731,763.01875	-648.62418,762.4934	-646.97711,761.6084	-644.87333,760.98706	-642.63007,760.68069	-640.56444,760.74048	-639.69723,760.92373	-638.99344,761.21772	-626.87434,767.59462	-625.11529,768.67919	-624.45592,769.27146	-623.99349,769.87801	-616.68639,781.46007	-615.70533,783.27891	-615.43051,784.12152	-615.33322,784.87803	-619.70291,796.22851	-620.05,796.73513
-684.51294,771.40166	-685.0383,770.8485	-685.9233,769.20143	-686.54471,767.09772	-686.85111,764.85443	-686.79125,762.78871	-686.60797,761.92156	-686.31397,761.21778	-676.8545,753.57282	-676.30056,753.30762	-663.71342,749.02527	-662.97174,748.8469	-661.10282,748.90398	-641.97882,750.6665	-641.3665,750.71389	-640.79443,751.03393	-640.26908,751.58707	-639.38408,753.23413	-638.76275,755.33792	-638.45637,757.58117	-638.51616,759.64681	-638.69941,760.51401	-638.99341,761.2178	-645.3703,773.3369	-646.45488,775.09596	-647.04714,775.75533	-647.65369,776.21775	-659.23575,783.52485	-661.05459,784.50591	-661.89721,784.78074	-662.65371,784.87802	-674.00419,780.50834	-674.51081,780.16125
-685.25421,814.391	-685.99594,814.5694	-687.86484,814.5123	-689.99741,813.9986	-692.09336,813.1423	-693.85239,812.0576	-694.51173,811.4653	-694.97422,810.8588	-696.86521,798.84418	-696.81791,798.23185	-694.23297,785.1899	-694.0166,784.4584	-693.03271,782.8684	-681.94432,767.1878	-681.59712,766.6812	-681.03392,766.3458	-680.29222,766.1674	-678.42332,766.2245	-676.29072,766.7383	-674.19482,767.5946	-672.43582,768.6792	-671.77642,769.2715	-671.31392,769.878	-664.00692,781.4601	-663.02582,783.2789	-662.75092,784.1215	-662.65372,784.878	-662.11662,798.56191	-662.17642,800.6276	-662.35972,801.49473	-662.65372,802.19854	-672.11322,809.8435	-672.66712,810.1087
-661.59396,820.73074	-662.33569,820.90914	-664.20459,820.85204	-666.33716,820.33834	-668.43311,819.48204	-670.19214,818.39734	-670.85148,817.80504	-671.31397,817.19854	-673.20496,805.18392	-673.15766,804.57159	-670.57272,791.52964	-670.35635,790.79814	-669.37246,789.20814	-658.28407,773.52754	-657.93687,773.02094	-657.37367,772.68554	-656.63197,772.50714	-654.76307,772.56424	-652.63047,773.07804	-650.53457,773.93434	-648.77557,775.01894	-648.11617,775.61124	-647.65367,776.21774	-640.34667,787.79984	-639.36557,789.61864	-639.09067,790.46124	-638.99347,791.21774	-638.45637,804.90165	-638.51617,806.96735	-638.69947,807.83448	-638.99347,808.53828	-648.45297,816.18324	-649.00687,816.44844
-624.73474,842.86737	-624.9511,843.59893	-625.935,845.1889	-627.44616,846.77891	-629.23572,848.1659	-631.05461,849.14692	-631.89722,849.42177	-632.65372,849.51905	-644.00418,845.14939	-644.51082,844.80226	-654.51301,836.04266	-655.03832,835.48953	-655.92336,833.84245	-663.95896,816.39933	-664.22409,815.84534	-664.23295,815.1899	-664.0166,814.45836	-663.0327,812.8684	-661.52144,811.27841	-659.73191,809.89146	-657.91312,808.91042	-657.07047,808.63552	-656.31398,808.53823	-642.63009,808.00123	-640.56441,808.06097	-639.69725,808.2442	-638.9935,808.53828	-626.87434,814.91509	-625.11529,815.99972	-624.45598,816.59203	-623.99347,817.19855	-622.10249,829.21319	-622.14977,829.82548
-587.13424,822.01467	-586.60888,822.56782	-585.72388,824.21489	-585.10247,826.3186	-584.79607,828.56189	-584.85593,830.62761	-585.03921,831.49476	-585.33321,832.19854	-594.79268,839.8435	-595.34662,840.1087	-607.93375,844.39105	-608.67544,844.56942	-610.54436,844.51234	-629.66835,842.74982	-630.28068,842.70243	-630.85275,842.38239	-631.3781,841.82926	-632.2631,840.18219	-632.88443,838.07841	-633.1908,835.83515	-633.13101,833.76951	-632.94777,832.90231	-632.65377,832.19852	-626.27688,820.07942	-625.1923,818.32037	-624.60004,817.661	-623.99349,817.19857	-612.41143,809.89147	-610.59258,808.91041	-609.74997,808.63559	-608.99346,808.5383	-597.64298,812.90799	-597.13636,813.25508
-683.25218,662.24768	-683.03582,661.51612	-682.05192,659.92616	-680.54075,658.33615	-678.7512,656.94915	-676.93231,655.96814	-676.08969,655.69328	-675.3332,655.596	-663.98274,659.96567	-663.4761,660.3128	-653.47391,669.07239	-652.94859,669.62553	-652.06356,671.2726	-644.02796,688.71573	-643.76283,689.26971	-643.75396,689.92516	-643.97031,690.65669	-644.95421,692.24665	-646.46548,693.83664	-648.25501,695.22359	-650.0738,696.20463	-650.91644,696.47954	-651.67294,696.57682	-665.35683,697.11382	-667.42251,697.05408	-668.28967,696.87085	-668.99342,696.57678	-681.11258,690.19996	-682.87163,689.11533	-683.53094,688.52302	-683.99345,687.91651	-685.88443,675.90186	-685.83715,675.28957
-720.85268,683.10039	-721.37804,682.54723	-722.26304,680.90016	-722.88445,678.79645	-723.19085,676.55316	-723.13099,674.48744	-722.94771,673.62029	-722.65371,672.91651	-713.19424,665.27156	-712.6403,665.00635	-700.05316,660.724	-699.31148,660.54563	-697.44256,660.60271	-678.31856,662.36524	-677.70624,662.41262	-677.13417,662.73266	-676.60882,663.2858	-675.72382,664.93286	-675.10249,667.03665	-674.79611,669.2799	-674.8559,671.34554	-675.03915,672.21274	-675.33315,672.91653	-681.71004,685.03563	-682.79462,686.79469	-683.38688,687.45406	-683.99343,687.91648	-695.57549,695.22358	-697.39433,696.20464	-698.23694,696.47947	-698.99345,696.57675	-710.34393,692.20707	-710.85055,691.85998
-693.71347,684.38431	-692.97174,684.20591	-691.10284,684.26301	-688.97027,684.77671	-686.87432,685.63301	-685.11529,686.71771	-684.45595,687.31001	-683.99346,687.91651	-682.10247,699.93113	-682.14977,700.54346	-684.73471,713.58541	-684.95108,714.31691	-685.93497,715.90691	-697.02336,731.58751	-697.37056,732.09411	-697.93376,732.42951	-698.67546,732.60791	-700.54436,732.55081	-702.67696,732.03701	-704.77286,731.18071	-706.53186,730.09611	-707.19126,729.50381	-707.65376,728.89731	-714.96076,717.31521	-715.94186,715.49641	-716.21676,714.65381	-716.31396,713.89731	-716.85106,700.2134	-716.79126,698.14771	-716.60796,697.28057	-716.31396,696.57677	-706.85446,688.93181	-706.30056,688.66661
